"Year","Municip_number","Species","Total_catch_new","Municip_name_new"
1994,"1804","Atlantic cod",325.8654,"Bodo"
1994,"1804","Atlantic herring",1747.735,"Bodo"
1994,"1804","Haddock",96.2642,"Bodo"
1994,"1804","Redfish",46.8867,"Bodo"
1994,"1804","Saithe",112.9187,"Bodo"
1994,"1805","Atlantic cod",5.0055,"Narvik"
1994,"1805","Atlantic herring",963.986,"Narvik"
1994,"1805","Haddock",0.4774,"Narvik"
1994,"1805","Redfish",0.759,"Narvik"
1994,"1805","Saithe",4.0869,"Narvik"
1994,"1811","Atlantic cod",30.7171,"Bindal"
1994,"1811","Haddock",3.57,"Bindal"
1994,"1811","Redfish",6.0189,"Bindal"
1994,"1811","Saithe",19.2437,"Bindal"
1994,"1812","Atlantic cod",1.4325,"Somna"
1994,"1812","Haddock",0.028,"Somna"
1994,"1812","Redfish",0.012,"Somna"
1994,"1812","Saithe",0.1095,"Somna"
1994,"1813","Atlantic cod",397.0804,"Bronnoy"
1994,"1813","Haddock",48.1404,"Bronnoy"
1994,"1813","Redfish",22.1217,"Bronnoy"
1994,"1813","Saithe",52.085,"Bronnoy"
1994,"1815","Atlantic cod",487.2687,"Vega"
1994,"1815","Atlantic herring",4.9,"Vega"
1994,"1815","Haddock",46.809,"Vega"
1994,"1815","Redfish",96.3412,"Vega"
1994,"1815","Saithe",194.2852,"Vega"
1994,"1816","Atlantic cod",1.734,"Vevelstad"
1994,"1816","Haddock",0.0784,"Vevelstad"
1994,"1816","Redfish",0.037,"Vevelstad"
1994,"1816","Saithe",0.2525,"Vevelstad"
1994,"1818","Atlantic cod",476.2665,"Heroy"
1994,"1818","Haddock",61.2668,"Heroy"
1994,"1818","Redfish",34.0848,"Heroy"
1994,"1818","Saithe",177.55,"Heroy"
1994,"1820","Atlantic cod",99.4943,"Alstahaug"
1994,"1820","Haddock",17.6064,"Alstahaug"
1994,"1820","Redfish",6.58,"Alstahaug"
1994,"1820","Saithe",9.4893,"Alstahaug"
1994,"1822","Atlantic cod",1.8735,"Leirfjord"
1994,"1822","Haddock",0.4547,"Leirfjord"
1994,"1822","Redfish",1.021,"Leirfjord"
1994,"1822","Saithe",0.9127,"Leirfjord"
1994,"1824","Atlantic cod",0.3405,"Vefsn"
1994,"1824","Haddock",0.0532,"Vefsn"
1994,"1824","Redfish",0.191,"Vefsn"
1994,"1824","Saithe",0.2984,"Vefsn"
1994,"1827","Atlantic cod",391.0148,"Donna"
1994,"1827","Atlantic herring",17.668,"Donna"
