"Year","Municip_number","Species","Total_catch_new","Municip_name_new"
1994,"1804","Atlantic cod",383.3839,"Bodo"
1994,"1804","Atlantic herring",47352.602,"Bodo"
1994,"1804","Greenland halibut",10.6572,"Bodo"
1994,"1804","Haddock",106.9654,"Bodo"
1994,"1804","Redfish",102.7771,"Bodo"
1994,"1804","Saithe",166.1351,"Bodo"
1994,"1804","Shrimp",12.324,"Bodo"
1994,"1805","Atlantic cod",5.0055,"Narvik"
1994,"1805","Atlantic herring",6509.94,"Narvik"
1994,"1805","Haddock",0.4774,"Narvik"
1994,"1805","Redfish",0.759,"Narvik"
1994,"1805","Saithe",4.0869,"Narvik"
1994,"1805","Shrimp",1.037,"Narvik"
1994,"1811","Atlantic cod",30.7171,"Bindal"
1994,"1811","Haddock",3.57,"Bindal"
1994,"1811","Redfish",6.0189,"Bindal"
1994,"1811","Saithe",19.2437,"Bindal"
1994,"1812","Atlantic cod",1.4325,"Somna"
1994,"1812","Haddock",0.028,"Somna"
1994,"1812","Redfish",0.012,"Somna"
1994,"1812","Saithe",0.1095,"Somna"
1994,"1813","Atlantic cod",1191.6634,"Bronnoy"
1994,"1813","Haddock",88.767,"Bronnoy"
1994,"1813","Redfish",29.0307,"Bronnoy"
1994,"1813","Saithe",164.9387,"Bronnoy"
1994,"1813","Shrimp",3.348,"Bronnoy"
1994,"1815","Atlantic cod",587.8632,"Vega"
1994,"1815","Atlantic herring",83.9,"Vega"
1994,"1815","Haddock",59.241,"Vega"
1994,"1815","Redfish",99.3632,"Vega"
1994,"1815","Saithe",207.575,"Vega"
1994,"1816","Atlantic cod",1.734,"Vevelstad"
1994,"1816","Haddock",0.0784,"Vevelstad"
1994,"1816","Redfish",0.037,"Vevelstad"
1994,"1816","Saithe",0.2525,"Vevelstad"
1994,"1818","Atlantic cod",1451.655,"Heroy"
1994,"1818","Haddock",114.7356,"Heroy"
1994,"1818","Redfish",117.1187,"Heroy"
1994,"1818","Saithe",415.9108,"Heroy"
1994,"1818","Shrimp",73.137,"Heroy"
1994,"1820","Atlantic cod",100.0358,"Alstahaug"
1994,"1820","Haddock",17.7744,"Alstahaug"
1994,"1820","Redfish",6.644,"Alstahaug"
1994,"1820","Saithe",10.1888,"Alstahaug"
1994,"1822","Atlantic cod",2.0235,"Leirfjord"
1994,"1822","Haddock",0.5247,"Leirfjord"
1994,"1822","Redfish",1.321,"Leirfjord"
1994,"1822","Saithe",1.1152,"Leirfjord"
