"year","county","municip_number","municip","aqua_prod","total_catch","sea_area","population","popgrowth","unemployed","percent_wforce","distance","distance_rank","aqua_prod_ton","total_catch_ton","totobs"
2006,"Finnmark",2004,"Hammerfest",1150485.368,14195.0255,2379.58,9361,-10,194,74,2187.8,68,1150.485368,14195.0255,14
2006,"Finnmark",2012,"Alta",14925546.698,400.8653,708.22,17889,30,406,70.1,2142.243,66,14925.546698,400.8653,14
2006,"Finnmark",2014,"Loppa",7714625.581,5374.567,2119.69,1213,-25,61,64.7,2114.266,65,7714.625581,5374.567,14
2006,"Finnmark",2017,"Kvalsund",3011720.29,2.2681,299.43,1070,0,29,62,2196.698,69,3011.72029,2.2681,14
2006,"Finnmark",2019,"Nordkapp",115461.352,11631.0493,3172.78,3330,-26,137,66.7,2302.882,72,115.461352,11631.0493,14
2006,"Finnmark",2027,"Nesseby",NA,195.936,200.5,892,-7,25,62.8,2452.245,77,NA,195.936,14
2006,"Finnmark",2030,"Sor-Varanger",385288.077,389.0039,1135.7,9464,-16,202,68.7,2587.5,81,385.288077,389.0039,14
2006,"Troms",1902,"Tromso",4524556.192,25941.1634,2767.33,63596,380,1024,73.5,1963.832,58,4524.556192,25941.1634,14
2006,"Troms",1903,"Harstad",3481073.55,907.806,1075.25,0,0,NA,0,1850.033,44,3481.07355,907.806,14
2006,"Troms",1911,"Kvaefjord",4338264.036,185.6998,189.03,3067,7,56,65.5,1806.774,39,4338.264036,185.6998,14
2006,"Troms",1913,"Skanland",6208081.66,0,85.75,2918,3,53,65.9,1844.254,41,6208.08166,0,14
2006,"Troms",1917,"Ibestad",4094627.156,0,351.66,1630,-19,39,58.9,1875.689,45,4094.627156,0,14
2006,"Troms",1919,"Gratangen",1814057.024,0,61.93,1245,6,41,58.2,1883.657,46,1814.057024,0,12
2006,"Troms",1920,"Lavangen",2788399.616,0.1823,22.93,1035,-14,24,64.1,1896.465,49,2788.399616,0.1823,14
2006,"Troms",1923,"Salangen",512334.774,0.7506,63.61,2263,3,40,67.8,1900.846,51,512.334774,0.7506,13
2006,"Troms",1926,"Dyroy",3012068.935,0,181.21,1295,-21,28,64.2,1900.833,50,3012.068935,0,14
2006,"Troms",1927,"Tranoy",4277229.275,0,414.56,1598,-1,17,63.8,1894.122,48,4277.229275,0,14
2006,"Troms",1928,"Torsken",8494971.404,5721.0821,832.68,1005,-14,19,63.4,1890.295,47,8494.971404,5721.0821,14
2006,"Troms",1929,"Berg",3205810.157,10161.2208,836.66,996,-9,19,68.8,1910.705,52,3205.810157,10161.2208,14
2006,"Troms",1931,"Lenvik",2173552.638,2837.1292,702.95,11051,6,209,66.3,1925.114,54,2173.552638,2837.1292,14
2006,"Troms",1936,"Karlsoy",4949279.871,12674.0734,4796.75,2369,-11,55,68.8,2036.172,59,4949.279871,12674.0734,14
2006,"Troms",1938,"Lyngen",759953.067,2.876,487.07,3161,-5,97,66.8,2039.693,60,759.953067,2.876,14
2006,"Troms",1940,"Kafjord",1902365.71,274.6787,124.17,2261,-6,72,63.7,2051.994,61,1902.36571,274.6787,13
2006,"Troms",1941,"Skjervoy",7232087.591,13082.5223,1088,2971,-13,101,61.6,2077.385,62,7232.087591,13082.5223,14
2006,"Troms",1942,"Nordreisa",4867534.404,220.0474,243.72,4772,-43,122,68.7,2083.479,63,4867.534404,220.0474,14
2006,"Troms",1943,"Kvaenangen",5136186.831,1139.1002,573.01,1387,-9,50,63.7,2110.984,64,5136.186831,1139.1002,14
2006,"Nordland",1804,"Bodo",1565082.681,29697.3384,3431.45,44992,215,763,72.2,1625.878,22,1565.082681,29697.3384,14
2006,"Nordland",1811,"Bindal",3960461.713,151.7305,641.29,1741,-15,24,64.6,1333.778,1,3960.461713,151.7305,14
2006,"Nordland",1812,"Somna",3567771.951,0.8445,594.84,2048,-4,25,68.4,1341.503,2,3567.771951,0.8445,13
2006,"Nordland",1813,"Bronnoy",2653181.922,455.3811,1052.81,7565,3,137,68.4,1359.248,3,2653.181922,455.3811,14
2006,"Nordland",1815,"Vega",1706243.373,1673.7182,2756.44,1308,-6,22,66.2,1375.174,4,1706.243373,1673.7182,14
2006,"Nordland",1816,"Vevelstad",4763285.334,0,122.2,516,-3,11,70,1379.621,5,4763.285334,0,14
2006,"Nordland",1818,"Heroy",NA,1222.5096,2197.73,1725,-16,44,67.2,1418.72,8,NA,1222.5096,14
2006,"Nordland",1820,"Alstahaug",2550567.09,0.6999,397.61,7306,-5,187,66.5,1400.557,6,2550.56709,0.6999,14
2006,"Nordland",1824,"Vefsn",1722185.736,0.379,101.49,13440,3,269,65.7,1409.307,7,1722.185736,0.379,14
2006,"Nordland",1827,"Donna",516232.278,417.5741,567.37,1507,-8,31,68.1,1438.247,9,516.232278,417.5741,14
2006,"Nordland",1828,"Nesna",926686.309,4.5585,219.63,1769,4,32,66.6,1455.901,12,926.686309,4.5585,14
2006,"Nordland",1833,"Rana",858279.262,0,128.29,25355,-90,620,65.4,1502.259,15,858.279262,0,14
2006,"Nordland",1834,"Luroy",12072987.591,421.3996,1072.51,1971,1,35,65.9,1467.93,13,12072.987591,421.3996,14
2006,"Nordland",1835,"Traena",461024.581,11567.3822,1777.3,453,0,7,74.4,1468.945,14,461.024581,11567.3822,14
2006,"Nordland",1836,"Rodoy",12988740.265,801.1869,2391.77,1376,-11,29,70,1502.26,16,12988.740265,801.1869,14
2006,"Nordland",1837,"Meloy",5801144.897,1073.576,1872.46,6715,-22,90,67.9,1505.621,18,5801.144897,1073.576,14
2006,"Nordland",1838,"Gildeskal",6471414.789,120.4751,837.6,2107,-18,34,66.6,1509.91,19,6471.414789,120.4751,14
2006,"Nordland",1840,"Saltdal",237593.887,0.1065,29.77,4751,-6,113,67.3,1502.261,17,237.593887,0.1065,14
2006,"Nordland",1841,"Fauske",2282362.926,57.0418,84.29,9551,-27,266,65.3,1625.878,22,2282.362926,57.0418,14
2006,"Nordland",1845,"Sorfold",6610755.482,162.6641,192.04,2119,-10,56,64,1711.852,28,6610.755482,162.6641,14
2006,"Nordland",1848,"Steigen",10766202.927,596.8276,2475.41,2760,-16,68,65.8,1711.846,27,10766.202927,596.8276,14
2006,"Nordland",1849,"Hamaroy",819315.348,0,528.96,1821,-14,44,65,1724.582,30,819.315348,0,14
2006,"Nordland",1850,"Tysfjord",1176162.456,1069.1231,465.3,2118,-13,75,60.3,1743.794,31,1176.162456,1069.1231,14
2006,"Nordland",1851,"Lodingen",4887889.985,14702.242,516.46,2314,-3,68,64.4,1754.722,33,4887.889985,14702.242,14
2006,"Nordland",1854,"Ballangen",843627.096,418.8196,260.93,2701,-14,68,60.4,1791.624,35,843.627096,418.8196,14
2006,"Nordland",1859,"Flakstad",2858617.055,5992.9426,994.01,1454,1,50,66.8,1680.052,25,2858.617055,5992.9426,13
2006,"Nordland",1860,"Vestvagoy",NA,9842.3935,1685.01,10797,33,283,65.4,1703.182,26,NA,9842.3935,14
2006,"Nordland",1865,"Vagan",8064381.01,27106.9363,1608.35,9021,-28,230,66.7,1720.912,29,8064.38101,27106.9363,14
2006,"Nordland",1866,"Hadsel",5871421.994,833.2088,617.87,8001,-14,181,67.4,1753.946,32,5871.421994,833.2088,14
2006,"Nordland",1867,"Bo",3779146.867,10075.1408,1579.07,2946,-6,81,60.4,1760.852,34,3779.146867,10075.1408,14
2006,"Nordland",1868,"Oksnes",6688259.255,10721.4405,1495.68,4567,-37,99,67.4,1803.767,38,6688.259255,10721.4405,14
2006,"Nordland",1870,"Sortland",4295428.107,2588.3612,371.13,9639,46,253,69.7,1796.622,36,4295.428107,2588.3612,14
2007,"Finnmark",2004,"Hammerfest",7008104.775,10812.5468,2379.58,9391,35,75,75.3,2187.8,68,7008.104775,10812.5468,14
2007,"Finnmark",2012,"Alta",14112492.488,417.0838,708.22,18090,3,292,72.1,2142.243,66,14112.492488,417.0838,14
