"year","municip_number","municip","sea_area","population","popgrowth","unemployed","percent_wforce","distance","distance_rank","aqua_prod_ton","total_catch_ton","total_catch_ton_coast","total_catch_ton_11m","totobs"
2006,2004,"Hammerfest",2379.58,9361,-10,194,74,2187.8,68,1150.485368,14195.0255,11661.5062,1634.508,14
2006,2012,"Alta",708.22,17889,30,406,70.1,2142.243,66,14925.546698,400.8653,400.8653,335.1663,14
2006,2014,"Loppa",2119.69,1213,-25,61,64.7,2114.266,65,7714.625581,5374.567,5321.596,1056.4635,14
2006,2017,"Kvalsund",299.43,1070,0,29,62,2196.698,69,3011.72029,2.2681,2.2681,2.2681,14
2006,2019,"Nordkapp",3172.78,3330,-26,137,66.7,2302.882,72,115.461352,11631.0493,11253.3751,3050.0341,14
2006,2027,"Nesseby",200.5,892,-7,25,62.8,2452.245,77,NA,195.936,195.936,181.6771,14
2006,2030,"Sor-Varanger",1135.7,9464,-16,202,68.7,2587.5,81,385.288077,389.0039,389.0039,310.5866,14
2006,1902,"Tromso",2767.33,63596,380,1024,73.5,1963.832,58,4524.556192,25941.1634,17694.0194,2404.0718,14
2006,1903,"Harstad",1075.25,NA,NA,NA,NA,1850.033,44,3481.07355,907.806,907.806,547.894,14
2006,1911,"Kvaefjord",189.03,3067,7,56,65.5,1806.774,39,4338.264036,185.6998,185.6998,146.7792,14
2006,1913,"Skanland",85.75,2918,3,53,65.9,1844.254,41,6208.08166,0,0,0,14
2006,1917,"Ibestad",351.66,1630,-19,39,58.9,1875.689,45,4094.627156,0,0,0,14
2006,1919,"Gratangen",61.93,1245,6,41,58.2,1883.657,46,1814.057024,0,0,0,13
2006,1920,"Lavangen",22.93,1035,-14,24,64.1,1896.465,49,2788.399616,0.1823,0.1823,0,14
2006,1923,"Salangen",63.61,2263,3,40,67.8,1900.846,51,512.334774,0.7506,0.7506,0,13
2006,1926,"Dyroy",181.21,1295,-21,28,64.2,1900.833,50,3012.068935,0,0,0,14
2006,1927,"Tranoy",414.56,1598,-1,17,63.8,1894.122,48,4277.229275,0,0,0,14
2006,1928,"Torsken",832.68,1005,-14,19,63.4,1890.295,47,8494.971404,5721.0821,4529.0518,613.8617,14
2006,1929,"Berg",836.66,996,-9,19,68.8,1910.705,52,3205.810157,10161.2208,7192.1266,1288.6894,14
2006,1931,"Lenvik",702.95,11051,6,209,66.3,1925.114,54,2173.552638,2837.1292,2742.6292,407.4,14
2006,1936,"Karlsoy",4796.75,2369,-11,55,68.8,2036.172,59,4949.279871,12674.0734,12336.6624,2658.6765,14
2006,1938,"Lyngen",487.07,3161,-5,97,66.8,2039.693,60,759.953067,2.876,2.876,0,14
2006,1940,"Kafjord",124.17,2261,-6,72,63.7,2051.994,61,1902.36571,274.6787,274.6787,261.4999,14
2006,1941,"Skjervoy",1088,2971,-13,101,61.6,2077.385,62,7232.087591,13082.5223,10722.1858,1413.7607,14
2006,1942,"Nordreisa",243.72,4772,-43,122,68.7,2083.479,63,4867.534404,220.0474,220.0474,185.8231,14
2006,1943,"Kvaenangen",573.01,1387,-9,50,63.7,2110.984,64,5136.186831,1139.1002,1110.0002,466.6568,14
2006,1804,"Bodo",3431.45,44992,215,763,72.2,1625.878,22,1565.082681,29697.3384,15114.6364,360.6152,14
2006,1811,"Bindal",641.29,1741,-15,24,64.6,1333.778,1,3960.461713,151.7305,151.7305,140.7351,14
2006,1812,"Somna",594.84,2048,-4,25,68.4,1341.503,2,3567.771951,0.8445,0.8445,0.8445,14
2006,1813,"Bronnoy",1052.81,7565,3,137,68.4,1359.248,3,2653.181922,455.3811,455.3811,371.4466,14
2006,1815,"Vega",2756.44,1308,-6,22,66.2,1375.174,4,1706.243373,1673.7182,1673.7182,452.5007,14
2006,1816,"Vevelstad",122.2,516,-3,11,70,1379.621,5,4763.285334,0,0,0,14
2006,1818,"Heroy",2197.73,1725,-16,44,67.2,1418.72,8,NA,1222.5096,1222.5096,689.2287,14
2006,1820,"Alstahaug",397.61,7306,-5,187,66.5,1400.557,6,2550.56709,0.6999,0.6999,0.6999,14
2006,1824,"Vefsn",101.49,13440,3,269,65.7,1409.307,7,1722.185736,0.379,0.379,0.379,14
2006,1827,"Donna",567.37,1507,-8,31,68.1,1438.247,9,516.232278,417.5741,417.5741,223.0545,14
2006,1828,"Nesna",219.63,1769,4,32,66.6,1455.901,12,926.686309,4.5585,4.5585,4.5585,14
2006,1833,"Rana",128.29,25355,-90,620,65.4,1502.259,15,858.279262,0,0,0,14
2006,1834,"Luroy",1072.51,1971,1,35,65.9,1467.93,13,12072.987591,421.3996,421.3996,250.1177,14
2006,1835,"Traena",1777.3,453,0,7,74.4,1468.945,14,461.024581,11567.3822,5950.5762,800.5251,14
2006,1836,"Rodoy",2391.77,1376,-11,29,70,1502.26,16,12988.740265,801.1869,801.1869,514.8779,14
2006,1837,"Meloy",1872.46,6715,-22,90,67.9,1505.621,18,5801.144897,1073.576,1073.576,554.7675,14
2006,1838,"Gildeskal",837.6,2107,-18,34,66.6,1509.91,19,6471.414789,120.4751,120.4751,88.3267,14
2006,1840,"Saltdal",29.77,4751,-6,113,67.3,1502.261,17,237.593887,0.1065,0.1065,0,14
2006,1841,"Fauske",84.29,9551,-27,266,65.3,1625.878,22,2282.362926,57.0418,57.0418,46.6942,14
2006,1845,"Sorfold",192.04,2119,-10,56,64,1711.852,28,6610.755482,162.6641,162.6641,131.5755,14
2006,1848,"Steigen",2475.41,2760,-16,68,65.8,1711.846,27,10766.202927,596.8276,596.8276,461.6342,14
2006,1849,"Hamaroy",528.96,1821,-14,44,65,1724.582,30,819.315348,0,0,0,14
2006,1850,"Tysfjord",465.3,2118,-13,75,60.3,1743.794,31,1176.162456,1069.1231,1069.1231,356.9359,14
2006,1851,"Lodingen",516.46,2314,-3,68,64.4,1754.722,33,4887.889985,14702.242,7059.638,65.3476,14
2006,1854,"Ballangen",260.93,2701,-14,68,60.4,1791.624,35,843.627096,418.8196,418.8196,71.5106,14
2006,1859,"Flakstad",994.01,1454,1,50,66.8,1680.052,25,2858.617055,5992.9426,5992.9426,2194.1465,14
2006,1860,"Vestvagoy",1685.01,10797,33,283,65.4,1703.182,26,NA,9842.3935,9681.2414,1433.1986,14
2006,1865,"Vagan",1608.35,9021,-28,230,66.7,1720.912,29,8064.38101,27106.9363,24628.3303,1783.0746,14
2006,1866,"Hadsel",617.87,8001,-14,181,67.4,1753.946,32,5871.421994,833.2088,385.2068,186.7385,14
2006,1867,"Bo",1579.07,2946,-6,81,60.4,1760.852,34,3779.146867,10075.1408,9426.9875,564.6122,14
2006,1868,"Oksnes",1495.68,4567,-37,99,67.4,1803.767,38,6688.259255,10721.4405,10721.4405,1723.1422,14
2006,1870,"Sortland",371.13,9639,46,253,69.7,1796.622,36,4295.428107,2588.3612,2324.6432,2.3002,14
2007,2004,"Hammerfest",2379.58,9391,35,75,75.3,2187.8,68,7008.104775,10812.5468,5815.453,1737.7243,14
2007,2012,"Alta",708.22,18090,3,292,72.1,2142.243,66,14112.492488,417.0838,417.0838,394.3076,14
2007,2014,"Loppa",2119.69,1150,-9,44,65.7,2114.266,65,6093.070341,1454.2885,1454.2885,777.6078,14
2007,2017,"Kvalsund",299.43,1092,-4,17,64.8,2196.698,69,1275.195862,11.8071,11.8071,8.8556,14
2007,2019,"Nordkapp",3172.78,3274,-9,90,69.5,2302.882,72,955.798935,12655.9061,10844.6892,3868.9501,14
2007,2027,"Nesseby",200.5,884,-4,23,66.6,2452.245,77,38.561091,405.3883,405.3883,402.9811,14
2007,2030,"Sor-Varanger",1135.7,9490,-48,141,70.4,2587.5,81,1820.437488,620.6445,620.6445,480.225,14
2007,1902,"Tromso",2767.33,64492,290,766,74.1,1963.832,58,7042.71564,16860.7466,12824.1583,2319.1652,14
2007,1903,"Harstad",1075.25,NA,NA,NA,NA,1850.033,44,708.840669999999,1106.7897,1106.7897,759.6832,14
2007,1911,"Kvaefjord",189.03,3048,-16,34,70.3,1806.774,39,5875.712263,120.1642,120.1642,84.8553,14
2007,1913,"Skanland",85.75,2883,-12,44,68.9,1844.254,41,5376.3542,0,0,0,14
2007,1917,"Ibestad",351.66,1574,-22,21,61.5,1875.689,45,1742.259482,0,0,0,14
2007,1919,"Gratangen",61.93,1226,-10,16,61.4,1883.657,46,4525.305152,0,0,0,13
2007,1920,"Lavangen",22.93,1011,-7,12,63.4,1896.465,49,NA,0.21,0.21,0,14
2007,1923,"Salangen",63.61,2232,-24,37,67.3,1900.846,51,NA,0,0,0,13
2007,1926,"Dyroy",181.21,1265,-17,19,63.8,1900.833,50,8194.27118,0,0,0,14
2007,1927,"Tranoy",414.56,1570,-16,12,64.4,1894.122,48,9951.866579,0,0,0,14
2007,1928,"Torsken",832.68,978,-10,8,67.4,1890.295,47,6457.290828,3655.9175,3563.1173,814.7479,14
