Komnum;Name;Kid
1804;Bodo;1
1805;Narvik;2
1811;Bindal;3
1812;Somna;4
1813;Bronnoy;5
1815;Vega;6
1816;Vevelstad;7
1818;Heroy;8
1820;Alstahaug;9
1822;Leirfjord;10
1824;Vefsn;11
1827;Donna;12
1828;Nesna;13
1832;Hemnes;14
1833;Rana;15
1834;Luroy;16
1835;Traena;17
1836;Rodoy;18
1837;Meloy;19
1838;Gildeskal;20
1840;Saltdal;21
1841;Fauske;22
1845;Sorfold;23
1848;Steigen;24
1849;Hamaroy;25
1850;Tysfjord;26
1851;Lodingen;27
1852;Tjeldsund;28
1853;Evenes;29
1854;Ballangen;30
1856;Rost;31
1857;Vaeroy;32
1859;Flakstad;33
1860;Vestvagoy;34
1865;Vagan;35
1866;Hadsel;36
1867;Bo;37
1868;Oksnes;38
1870;Sortland;39
1871;Andoy;40
1874;Moskenes;41
1902;Tromso;42
1903;Harstad;43
1911;Kvaefjord;44
1913;Skanland;45
1917;Ibestad;46
1919;Gratangen;47
1920;Lavangen;48
1923;Salangen;49
1924;Malselv;50
1925;Sorreisa;51
1926;Dyroy;52
1927;Tranoy;53
1928;Torsken;54
1929;Berg;55
1931;Lenvik;56
1933;Balsfjord;57
1936;Karlsoy;58
1938;Lyngen;59
1939;Storfjord;60
1940;Kafjord;61
1941;Skjervoy;62
1942;Nordreisa;63
1943;Kvaenangen;64
2002;Vardo;65
2003;Vadso;66
2004;Hammerfest;67
2012;Alta;68
2014;Loppa;69
2015;Hasvik;70
2017;Kvalsund;71
2018;Masoy;72
2019;Nordkapp;73
2020;Porsanger;74
2022;Lebesby;75
2023;Gamvik;76
2024;Berlevag;77
2025;Tana;78
2027;Nesseby;79
2028;Batsfjord;80
2030;Sor-Varanger;81
9999;NonCoast;82
